id,name_en,name_vi,slug,category,description,usage_count,status
TAG001,8-ball,8-balls,8-ball,game_type,8-ball pocket billiards game,0,active
TAG002,9-ball,9-balls,9-ball,game_type,9-ball pocket billiards game,0,active
TAG003,10-ball,10-balls,10-ball,game_type,10-ball pocket billiards game,0,active
TAG004,straight pool,straight pool,straight-pool,game_type,14.1 continuous pool game,0,active
TAG005,one-pocket,một túi,one-pocket,game_type,One-pocket strategy game,0,active
TAG006,bank pool,bank pool,bank-pool,game_type,Bank pool game variant,0,active
TAG007,snooker,snooker,snooker,game_type,Snooker billiards game,0,active
TAG008,carom,carom,carom,game_type,Carom billiards games,0,active
TAG009,three-cushion,ba băng,three-cushion,game_type,Three-cushion carom game,0,active
TAG010,trick shots,cú đánh đặc biệt,trick-shots,game_type,Artistic and fancy shots,0,active
TAG011,artistic pool,pool nghệ thuật,artistic-pool,game_type,Artistic pool competition,0,active
TAG012,rotation,rotation,rotation,game_type,Rotation pool games,0,active
TAG013,bowlliards,bowlliards,bowlliards,game_type,Hybrid bowling-pool game,0,active
TAG014,killer,killer,killer,game_type,Killer practice game,0,active
TAG015,horse,đua ngựa,horse,game_type,Horse pool game variant,0,active
TAG016,basic,cơ bản,basic,difficulty,Beginner-level content,0,active
TAG017,intermediate,trung cấp,intermediate,difficulty,Intermediate-level content,0,active
TAG018,advanced,nâng cao,advanced,difficulty,Advanced-level content,0,active
TAG019,expert,chuyên gia,expert,difficulty,Expert-level content,0,active
TAG020,professional,chuyên nghiệp,professional,difficulty,Professional-level content,0,active
TAG021,stance,tư thế,stance,technique,Body positioning technique,0,active
TAG022,grip,cách cầm gậy,grip,technique,Cue grip technique,0,active
TAG023,bridge,tay chống,bridge,technique,Bridge hand technique,0,active
TAG024,aiming,ngắm bắn,aiming,technique,Shot aiming technique,0,active
TAG025,center ball,bóng giữa,center-ball,technique,Center ball hit technique,0,active
TAG026,follow,xoáy,follow,technique,Topspin follow shot,0,active
TAG027,draw,kéo,draw,technique,Backspin draw shot,0,active
TAG028,english,xoáy ngang,english,technique,Side spin technique,0,active
TAG029,left english,xoáy trái,left-english,technique,Left side spin,0,active
TAG030,right english,xoáy phải,right-english,technique,Right side spin,0,active
TAG031,cut shot,cú cắt,cut-shot,technique,Angled cut shot,0,active
TAG032,inside cut,cú cắt trong,inside-cut,technique,Inside cut shot,0,active
TAG033,outside cut,cú cắt ngoài,outside-cut,technique,Outside cut shot,0,active
TAG034,bank shot,cú đánh băng,bank-shot,technique,Cushion bank shot,0,active
TAG035,combination,tổ hợp,combination,technique,Combination shot,0,active
TAG036,carom,carom,carom-shot,technique,Cushion carom shot,0,active
TAG037,kick shot,cú đá,kick-shot,technique,Kick shot technique,0,active
TAG038,jump shot,cú nhảy,jump-shot,technique,Ball jump technique,0,active
TAG039,masse,masse,masse,technique,Massé curved shot,0,active
TAG040,screw shot,cú xoắn,screw-shot,technique,Extreme backspin shot,0,active
TAG041,power shot,cú lực,power-shot,technique,Power shooting technique,0,active
TAG042,fine control,kiểm soát chính xác,fine-control,technique,Precision control technique,0,active
TAG043,position play,kiểm soát vị trí,position-play,technique,Cue ball position control,0,active
TAG044,ghost ball,bóng ma,ghost-ball,technique,Ghost ball aiming method,0,active
TAG045,contact point,điểm chạm,contact-point,technique,Contact point visualization,0,active
TAG046,cue ball control,kiểm soát bóng trắng,cue-ball-control,technique,Cue ball speed and spin control,0,active
TAG047,object ball,bóng đối tượng,object-ball,equipment,Object ball terminology,0,active
TAG048,cue ball,bóng trắng,cue-ball,equipment,Cue ball equipment,0,active
TAG049,solid ball,bóng đặc,solid-ball,equipment,Solid numbered balls,0,active
TAG050,striped ball,bóng sọc,striped-ball,equipment,Striped balls,0,active
TAG051,cue,gậy,cue,equipment,Pool cue equipment,0,active
TAG052,two-piece cue,gậy hai khúc,two-piece-cue,equipment,Two-piece jointed cue,0,active
TAG053,one-piece cue,gậy một khúc,one-piece-cue,equipment,One-piece solid cue,0,active
TAG054,break cue,gậy phá,break-cue,equipment,Break shot cue,0,active
TAG055,jump cue,gậy nhảy,jump-cue,equipment,Jump shot cue,0,active
TAG056,shaft,thân gậy,shaft,equipment,Cue shaft component,0,active
TAG057,butt,chuôi gậy,butt,equipment,Cue butt component,0,active
TAG058,tip,mũi gậy,tip,equipment,Cue tip component,0,active
TAG059,ferrule,ống lót,ferrule,equipment,Ferrule component,0,active
TAG060,joint,khớp nối,joint,equipment,Cue joint component,0,active
TAG061,chalk,phấn,chalk,equipment,Billiard chalk,0,active
TAG062,rack,dàn bóng,rack,equipment,Ball rack equipment,0,active
TAG063,triangle,khuôn tam giác,triangle,equipment,Triangle rack,0,active
TAG064,gloves,găng tay,gloves,equipment,Billiard gloves,0,active
TAG065,table,bàn,table,equipment,Billiard table,0,active
TAG066,slate,đá phiến,slate,equipment,Table slate bed,0,active
TAG067,felt,nỉ,felt,equipment,Table felt surface,0,active
TAG068,cushion,đệm,cushion,equipment,Table cushions,0,active
TAG069,pocket,túi,pocket,equipment,Table pockets,0,active
TAG070,cue case,túi đựng gậy,cue-case,equipment,Cue carrying case,0,active
TAG071,bridge stick,gậy chống,bridge-stick,equipment,Mechanical bridge,0,active
TAG072,score keeper,bảng điểm,score-keeper,equipment,Score keeping device,0,active
TAG073,tournament,giải đấu,tournament,tournament,Tournament play,0,active
TAG074,match play,trận đấu,match-play,tournament,Match format play,0,active
TAG075,single elimination,loại trực tiếp,single-elimination,tournament,Single elimination bracket,0,active
TAG076,double elimination,loại kép,double-elimination,tournament,Double elimination bracket,0,active
TAG077,round robin,vòng tròn,round-robin,tournament,Round robin format,0,active
TAG078,race format,đua điểm,race-format,tournament,Race to score format,0,active
TAG079,lag for break,bốc thăm phá,lag-for-break,tournament,Lag break determination,0,active
TAG080,handicapping,chấp,handicapping,tournament,Player handicapping system,0,active
TAG081,bracket,bảng đấu,bracket,tournament,Tournament bracket,0,active
TAG082,qualifier,vòng loại,qualifier,tournament,Qualifying rounds,0,active
TAG083,finals,chung kết,finals,tournament,Championship finals,0,active
TAG084,semifinals,bán kết,semifinals,tournament,Semifinal matches,0,active
TAG085,title match,trận tranh đai,title-match,tournament,Championship title match,0,active
TAG086,pro tour,giải chuyên nghiệp,pro-tour,tournament,Professional tour events,0,active
TAG087,ranking event,giải tính điểm,ranking-event,tournament,Ranking points event,0,active
TAG088,exhibition,biểu diễn,exhibition,tournament,Exhibition match,0,active
TAG089,foul,lỗi,foul,rules,Rule violation foul,0,active
TAG090,scratch,gãi,scratch,rules,Cue ball scratch foul,0,active
TAG091,safety,an toàn,safety,rules,Safety play rules,0,active
TAG092,ball in hand,bóng tay,ball-in-hand,rules,Ball in hand placement,0,active
TAG093,call pocket,gọi túi,call-pocket,rules,Called pocket rules,0,active
TAG094,called shot,gọi bóng,called-shot,rules,Called shot rules,0,active
TAG095,legal shot,đánh hợp lệ,legal-shot,rules,Legal shot requirements,0,active
TAG096,illegal break,phá sai,illegal-break,rules,Illegal break rules,0,active
TAG097,push shot,đẩy bóng,push-shot,rules,Push shot rule,0,active
TAG098,double hit,chạm đúp,double-hit,rules,Double hit rule,0,active
